Period,Site,Corallivore Density,Detritivore Density,Omnivore Density,Carnivore Density,Herbivore Density,Total Density,Commercial Density,Total Biomass Density,Commercial Biomass Density
Spring 2022,Latason MPA,11.75,16.75,21.5,28.75,583.0,725.38,105.75,9.85,3.88
Summer 2022,Latason MPA,23.25,24.75,19.5,107.5,720.25,596.11,63.68,11.12,5.23
Autumn 2022,Latason MPA,13.38,14.25,15.12,70.75,549.5,171.75,110.0,16.65,13.89
Winter 22/23,Latason MPA,17.5,18.75,17.75,49.75,628.5,764.83,461.33,54.76,37.24
Spring 2023,Latason MPA,8.7,11.9,10.9,38.5,370.4,972.25,188.06,28.89,12.69
Summer 2023,Latason MPA,5.27,8.73,7.82,21.27,239.36,1113.36,153.36,21.04,9.26
Autumn 2023,Latason MPA,18.0,18.5,11.0,50.67,487.5,595.64,69.73,8.25,3.81
Winter 23/24,Latason MPA,12.5,9.75,11.75,41.88,547.12,918.0,60.53,11.65,5.86
Spring 2024,Latason MPA,18.6,20.6,14.0,80.4,474.2,105.5,41.5,2.95,1.82
Summer 2024,Latason MPA,7.83,13.67,10.17,53.83,565.83,700.71,404.29,51.88,34.59
Autumn 2024,Latason MPA,13.29,17.86,16.43,54.71,512.86,75.42,29.92,2.3,1.38
Winter 24/25,Latason MPA,8.23,7.31,8.0,16.54,319.69,1566.0,479.43,37.32,18.9
Spring 2025,Latason MPA,6.29,7.64,9.79,32.93,294.07,660.77,94.69,14.58,8.31
Summer 2025,Latason MPA,6.56,13.11,9.11,58.89,322.89,524.0,172.06,20.89,15.12
